Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,lifecycle:transition,concept:name,AMOUNT_REQ
173691,A_SUBMITTED-COMPLETE,112,2011-10-01 02:08:58.256,Variant 190,190,COMPLETE,A_SUBMITTED,5000
173691,A_PARTLYSUBMITTED-COMPLETE,112,2011-10-01 02:09:02.195,Variant 190,190,COMPLETE,A_PARTLYSUBMITTED,5000
173691,A_PREACCEPTED-COMPLETE,112,2011-10-01 02:09:56.648,Variant 190,190,COMPLETE,A_PREACCEPTED,5000
173691,W_Completeren aanvraag-SCHEDULE,112,2011-10-01 02:09:59.578,Variant 190,190,SCHEDULE,W_Completeren aanvraag,5000
173691,W_Completeren aanvraag-START,,2011-10-01 05:37:32.393,Variant 190,190,START,W_Completeren aanvraag,5000
173691,W_Completeren aanvraag-COMPLETE,,2011-10-01 05:43:13.178,Variant 190,190,COMPLETE,W_Completeren aanvraag,5000
173691,W_Completeren aanvraag-START,,2011-10-01 08:27:57.775,Variant 190,190,START,W_Completeren aanvraag,5000
173691,A_ACCEPTED-COMPLETE,10862,2011-10-01 08:33:54.614,Variant 190,190,COMPLETE,A_ACCEPTED,5000
173691,A_FINALIZED-COMPLETE,10862,2011-10-01 08:35:46.016,Variant 190,190,COMPLETE,A_FINALIZED,5000
173691,O_SELECTED-COMPLETE,10862,2011-10-01 08:35:46.016,Variant 190,190,COMPLETE,O_SELECTED,5000
173691,O_CREATED-COMPLETE,10862,2011-10-01 08:35:47.488,Variant 190,190,COMPLETE,O_CREATED,5000
173691,O_SENT-COMPLETE,10862,2011-10-01 08:35:47.583,Variant 190,190,COMPLETE,O_SENT,5000
173691,W_Nabellen offertes-SCHEDULE,,2011-10-01 08:35:47.682,Variant 190,190,SCHEDULE,W_Nabellen offertes,5000
173691,W_Completeren aanvraag-COMPLETE,,2011-10-01 08:35:48.791,Variant 190,190,COMPLETE,W_Completeren aanvraag,5000
173691,W_Nabellen offertes-START,,2011-10-01 08:36:13.443,Variant 190,190,START,W_Nabellen offertes,5000
173691,W_Nabellen offertes-COMPLETE,,2011-10-01 08:36:25.794,Variant 190,190,COMPLETE,W_Nabellen offertes,5000
173691,W_Nabellen offertes-START,,2011-10-03 10:54:43.257,Variant 190,190,START,W_Nabellen offertes,5000
173691,O_SELECTED-COMPLETE,11120,2011-10-03 10:56:17.731,Variant 190,190,COMPLETE,O_SELECTED,5000
173691,O_CANCELLED-COMPLETE,11120,2011-10-03 10:56:17.731,Variant 190,190,COMPLETE,O_CANCELLED,5000
173691,O_CREATED-COMPLETE,11120,2011-10-03 10:56:19.613,Variant 190,190,COMPLETE,O_CREATED,5000
