axis,generator,seed,target,status,reason
utility,PALSYN,41,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,PALSYN,41,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,PALSYN,42,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,PALSYN,42,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,PALSYN,43,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,PALSYN,43,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,PALSYN,44,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,PALSYN,44,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,PALSYN,45,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,PALSYN,45,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,ProcessGAN,41,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,ProcessGAN,41,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,ProcessGAN,42,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,ProcessGAN,42,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,ProcessGAN,43,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,ProcessGAN,43,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,ProcessGAN,44,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,ProcessGAN,44,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,ProcessGAN,45,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,ProcessGAN,45,readmission_30d,skipped,too_few_labeled_train_or_test train=0 test=258
utility,Rule_based,41,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,Rule_based,41,readmission_30d,skipped,single_class_test
utility,Rule_based,42,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,Rule_based,42,readmission_30d,skipped,single_class_train
utility,Rule_based,43,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,Rule_based,43,readmission_30d,skipped,single_class_test
utility,Rule_based,44,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,Rule_based,44,readmission_30d,skipped,single_class_test
utility,Rule_based,45,admission_conversion,skipped,too_few_labeled_train_or_test train=0 test=0
utility,Rule_based,45,readmission_30d,skipped,single_class_test
privacy,PALSYN,41,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,PALSYN,41,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,PALSYN,42,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,PALSYN,42,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,PALSYN,43,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,PALSYN,43,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,PALSYN,44,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,PALSYN,44,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,PALSYN,45,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,PALSYN,45,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,41,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,41,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,42,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,42,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,43,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,43,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,44,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,44,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,45,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,ProcessGAN,45,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,Rule_based,41,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,Rule_based,41,readmission_30d,skipped,real_member_or_nonmember_single_class
privacy,Rule_based,42,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,Rule_based,42,readmission_30d,skipped,synthetic_target_unavailable_or_single_class
privacy,Rule_based,43,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,Rule_based,43,readmission_30d,skipped,real_member_or_nonmember_single_class
privacy,Rule_based,44,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,Rule_based,44,readmission_30d,skipped,real_member_or_nonmember_single_class
privacy,Rule_based,45,admission_conversion,skipped,synthetic_target_unavailable_or_single_class
privacy,Rule_based,45,readmission_30d,skipped,real_member_or_nonmember_single_class
