generator,seed,activity_kl_divergence,trace_variant_jaccard,duration_wasserstein_hours
PALSYN,41,0.22266090911031283,0.0013956734124214933,22934.0963044493
PALSYN,42,0.20785809597516283,0.0014419610670511895,24711.136384063422
PALSYN,43,0.2378806741732611,0.0006872852233676976,17232.015015904126
PALSYN,44,0.2271157720264806,0.0006906077348066298,14103.630409283174
PALSYN,45,0.24553504056039493,0.0,16406.911255454597
ProcessGAN,41,0.180808328757579,0.0017889087656529517,7.662370094641473
ProcessGAN,42,0.013659696103916402,0.0,7.574598937893956
ProcessGAN,43,0.03287768045360501,0.0,7.572975537895523
ProcessGAN,44,0.08790758182141162,0.0,7.59245757519985
ProcessGAN,45,0.8752033594318479,0.0,7.566301455581842
Rule_based,41,0.00015476030645144938,0.033126293995859216,1.9863527376097132
Rule_based,42,0.0008722019132888976,0.034482758620689655,1.7753911753800218
Rule_based,43,0.000466502464929178,0.03441011235955056,1.691032319861597
Rule_based,44,0.0002810498554748891,0.036440084092501754,1.9511756890372252
Rule_based,45,0.0002983065116432225,0.034818941504178275,1.154436101841552
