mia_auc,mia_accuracy,mia_macro_f1,attack_train_n,target_eval_n,target_member_n,target_nonmember_n,generator,seed,status
0.4910516422209001,0.222990492653414,0.1823321554770318,128,1157,899,258,ProcessGAN,41,ok
0.45979167205594507,0.222990492653414,0.1823321554770318,128,1157,899,258,ProcessGAN,42,ok
0.5158983711445103,0.222990492653414,0.1823321554770318,128,1157,899,258,ProcessGAN,43,ok
0.48033775685300634,0.222990492653414,0.1823321554770318,128,1157,899,258,ProcessGAN,44,ok
0.49804045839045974,0.22385479688850476,0.18357221436429358,128,1157,899,258,ProcessGAN,45,ok
0.5049430461063542,0.22558340535868626,0.18669428230716126,128,1157,899,258,PALSYN,41,ok
0.5008493502686017,0.22558340535868626,0.18669428230716126,128,1157,899,258,PALSYN,42,ok
0.5032831483733002,0.222990492653414,0.1862012795225536,128,1157,899,258,PALSYN,43,ok
0.5094743513464574,0.2247191011235955,0.1848099893725066,128,1157,899,258,PALSYN,44,ok
0.5130269636374611,0.222990492653414,0.1823321554770318,128,1157,899,258,PALSYN,45,ok
0.5349225237343819,0.6032843560933449,0.5085412068462916,128,1157,899,258,Rule_based,41,ok
0.5139819437618025,0.5713050993949871,0.4968789013732834,128,1157,899,258,Rule_based,42,ok
0.5035871036724698,0.46499567847882456,0.43966472972687504,128,1157,899,258,Rule_based,43,ok
0.5151115365048159,0.6041486603284356,0.4912694023947221,128,1157,899,258,Rule_based,44,ok
0.5108928094092489,0.5998271391529818,0.5004713756990208,128,1157,899,258,Rule_based,45,ok
